nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
KABUPATEN BOGOR,LAKI-LAKI,639,ORANG,2020
KABUPATEN BOGOR,PEREMPUAN,657,ORANG,2020
KABUPATEN SUKABUMI,LAKI-LAKI,265,ORANG,2020
KABUPATEN SUKABUMI,PEREMPUAN,296,ORANG,2020
KABUPATEN CIANJUR,LAKI-LAKI,337,ORANG,2020
KABUPATEN CIANJUR,PEREMPUAN,347,ORANG,2020
KABUPATEN BANDUNG,LAKI-LAKI,1174,ORANG,2020
KABUPATEN BANDUNG,PEREMPUAN,1129,ORANG,2020
KABUPATEN GARUT,LAKI-LAKI,354,ORANG,2020
KABUPATEN GARUT,PEREMPUAN,297,ORANG,2020
KABUPATEN TASIKMALAYA,LAKI-LAKI,121,ORANG,2020
KABUPATEN TASIKMALAYA,PEREMPUAN,58,ORANG,2020
KABUPATEN CIAMIS,LAKI-LAKI,715,ORANG,2020
KABUPATEN CIAMIS,PEREMPUAN,742,ORANG,2020
KABUPATEN KUNINGAN,LAKI-LAKI,170,ORANG,2020
KABUPATEN KUNINGAN,PEREMPUAN,192,ORANG,2020
KABUPATEN CIREBON,LAKI-LAKI,456,ORANG,2020
KABUPATEN CIREBON,PEREMPUAN,424,ORANG,2020
KABUPATEN MAJALENGKA,LAKI-LAKI,614,ORANG,2020
KABUPATEN MAJALENGKA,PEREMPUAN,539,ORANG,2020
KABUPATEN SUMEDANG,LAKI-LAKI,326,ORANG,2020
KABUPATEN SUMEDANG,PEREMPUAN,381,ORANG,2020
KABUPATEN INDRAMAYU,LAKI-LAKI,115,ORANG,2020
KABUPATEN INDRAMAYU,PEREMPUAN,99,ORANG,2020
KABUPATEN SUBANG,LAKI-LAKI,171,ORANG,2020
KABUPATEN SUBANG,PEREMPUAN,112,ORANG,2020
KABUPATEN PURWAKARTA,LAKI-LAKI,267,ORANG,2020
KABUPATEN PURWAKARTA,PEREMPUAN,267,ORANG,2020
KABUPATEN KARAWANG,LAKI-LAKI,735,ORANG,2020
KABUPATEN KARAWANG,PEREMPUAN,594,ORANG,2020
KABUPATEN BEKASI,LAKI-LAKI,171,ORANG,2020
KABUPATEN BEKASI,PEREMPUAN,146,ORANG,2020
KABUPATEN BANDUNG BARAT,LAKI-LAKI,506,ORANG,2020
KABUPATEN BANDUNG BARAT,PEREMPUAN,462,ORANG,2020
KABUPATEN PANGANDARAN,LAKI-LAKI,97,ORANG,2020
KABUPATEN PANGANDARAN,PEREMPUAN,99,ORANG,2020
KOTA BOGOR,LAKI-LAKI,149,ORANG,2020
KOTA BOGOR,PEREMPUAN,92,ORANG,2020
KOTA SUKABUMI,LAKI-LAKI,348,ORANG,2020
KOTA SUKABUMI,PEREMPUAN,303,ORANG,2020
KOTA BANDUNG,LAKI-LAKI,2322,ORANG,2020
KOTA BANDUNG,PEREMPUAN,2102,ORANG,2020
KOTA CIREBON,LAKI-LAKI,83,ORANG,2020
KOTA CIREBON,PEREMPUAN,88,ORANG,2020
KOTA BEKASI,LAKI-LAKI,936,ORANG,2020
KOTA BEKASI,PEREMPUAN,710,ORANG,2020
KOTA DEPOK,LAKI-LAKI,670,ORANG,2020
KOTA DEPOK,PEREMPUAN,606,ORANG,2020
KOTA CIMAHI,LAKI-LAKI,211,ORANG,2020
KOTA CIMAHI,PEREMPUAN,222,ORANG,2020
KOTA TASIKMALAYA,LAKI-LAKI,691,ORANG,2020
KOTA TASIKMALAYA,PEREMPUAN,718,ORANG,2020
KOTA BANJAR,LAKI-LAKI,69,ORANG,2020
KOTA BANJAR,PEREMPUAN,77,ORANG,2020
KABUPATEN BOGOR,LAKI-LAKI,1121,ORANG,2021
KABUPATEN BOGOR,PEREMPUAN,1099,ORANG,2021
KABUPATEN SUKABUMI,LAKI-LAKI,139,ORANG,2021
KABUPATEN SUKABUMI,PEREMPUAN,142,ORANG,2021
KABUPATEN CIANJUR,LAKI-LAKI,245,ORANG,2021
KABUPATEN CIANJUR,PEREMPUAN,191,ORANG,2021
KABUPATEN BANDUNG,LAKI-LAKI,990,ORANG,2021
KABUPATEN BANDUNG,PEREMPUAN,1012,ORANG,2021
KABUPATEN GARUT,LAKI-LAKI,509,ORANG,2021
KABUPATEN GARUT,PEREMPUAN,502,ORANG,2021
KABUPATEN TASIKMALAYA,LAKI-LAKI,14,ORANG,2021
KABUPATEN TASIKMALAYA,PEREMPUAN,34,ORANG,2021
KABUPATEN CIAMIS,LAKI-LAKI,236,ORANG,2021
KABUPATEN CIAMIS,PEREMPUAN,230,ORANG,2021
KABUPATEN KUNINGAN,LAKI-LAKI,257,ORANG,2021
KABUPATEN KUNINGAN,PEREMPUAN,287,ORANG,2021
KABUPATEN CIREBON,LAKI-LAKI,408,ORANG,2021
KABUPATEN CIREBON,PEREMPUAN,412,ORANG,2021
KABUPATEN MAJALENGKA,LAKI-LAKI,411,ORANG,2021
KABUPATEN MAJALENGKA,PEREMPUAN,371,ORANG,2021
KABUPATEN SUMEDANG,LAKI-LAKI,619,ORANG,2021
KABUPATEN SUMEDANG,PEREMPUAN,712,ORANG,2021
KABUPATEN INDRAMAYU,LAKI-LAKI,111,ORANG,2021
KABUPATEN INDRAMAYU,PEREMPUAN,83,ORANG,2021
KABUPATEN SUBANG,LAKI-LAKI,155,ORANG,2021
KABUPATEN SUBANG,PEREMPUAN,132,ORANG,2021
KABUPATEN PURWAKARTA,LAKI-LAKI,130,ORANG,2021
KABUPATEN PURWAKARTA,PEREMPUAN,90,ORANG,2021
KABUPATEN KARAWANG,LAKI-LAKI,533,ORANG,2021
KABUPATEN KARAWANG,PEREMPUAN,396,ORANG,2021
KABUPATEN BEKASI,LAKI-LAKI,197,ORANG,2021
KABUPATEN BEKASI,PEREMPUAN,173,ORANG,2021
KABUPATEN BANDUNG BARAT,LAKI-LAKI,150,ORANG,2021
KABUPATEN BANDUNG BARAT,PEREMPUAN,159,ORANG,2021
KABUPATEN PANGANDARAN,LAKI-LAKI,40,ORANG,2021
KABUPATEN PANGANDARAN,PEREMPUAN,40,ORANG,2021
KOTA BOGOR,LAKI-LAKI,264,ORANG,2021
KOTA BOGOR,PEREMPUAN,262,ORANG,2021
KOTA SUKABUMI,LAKI-LAKI,249,ORANG,2021
KOTA SUKABUMI,PEREMPUAN,201,ORANG,2021
KOTA BANDUNG,LAKI-LAKI,1951,ORANG,2021
KOTA BANDUNG,PEREMPUAN,1792,ORANG,2021
KOTA CIREBON,LAKI-LAKI,51,ORANG,2021
KOTA CIREBON,PEREMPUAN,53,ORANG,2021
KOTA BEKASI,LAKI-LAKI,1031,ORANG,2021
KOTA BEKASI,PEREMPUAN,975,ORANG,2021
KOTA DEPOK,LAKI-LAKI,1707,ORANG,2021
KOTA DEPOK,PEREMPUAN,1448,ORANG,2021
KOTA CIMAHI,LAKI-LAKI,346,ORANG,2021
KOTA CIMAHI,PEREMPUAN,352,ORANG,2021
KOTA TASIKMALAYA,LAKI-LAKI,449,ORANG,2021
KOTA TASIKMALAYA,PEREMPUAN,460,ORANG,2021
KOTA BANJAR,LAKI-LAKI,19,ORANG,2021
KOTA BANJAR,PEREMPUAN,19,ORANG,2021
